序號,縣市別代碼,工廠名稱,登記編號,廠址,產業類別,產品名稱
337,66000,津谷食品股份有限公司,99671873,臺中市西屯區大河里文心路三段１７９之１５號一，二樓及地下室,08食品製造業,"081肉類處理及其製品,082水產處理及其製品,083蔬果處理及其製品,089其他食品"
338,66000,劉麵包廠,99671916,臺中市西區後龍里向上路一段2之3號,08食品製造業,089其他食品
339,66000,合興通食品股份有限公司,99671951,臺中市南區樹義里樹義六巷5之20號,08食品製造業,"083蔬果處理及其製品,089其他食品"
340,66000,三益釀造化學工廠,99672090,臺中市南區福興里福平街１００號,08食品製造業,"083蔬果處理及其製品,089其他食品"
341,66000,寶泉食品股份有限公司,99672091,臺中市中區公園里自由路二段３６號,08食品製造業,089其他食品
342,66000,新聯成食品廠,99672221,臺中市西屯區逢甲里文華路３７號,08食品製造業,089其他食品
343,66000,金慶豐製米工廠分廠,99701043,臺中市神岡區山皮里神岡路一九七之二一號,08食品製造業,086碾榖、磨粉及澱粉製品
344,66000,興豐碾米所,99701049,臺中市沙鹿區鹿寮里中山路五二四號,08食品製造業,"086碾榖、磨粉及澱粉製品,089其他食品"
345,66000,哈妮食品廠,99701079,臺中市豐原區翁子里豐勢路一段５７７巷４８號,08食品製造業,086碾榖、磨粉及澱粉製品
346,66000,楊協益米廠,99701086,臺中市大雅區橫山里永和路三二號,08食品製造業,086碾榖、磨粉及澱粉製品
347,66000,信義豐碾米工廠,99701121,臺中市大甲區頂店里中山路一段1158巷2號,08食品製造業,086碾榖、磨粉及澱粉製品
348,66000,利達製藥股份有限公司,99701140,臺中市大甲區岷山里中山路一段906號,"08食品製造業,19化學製品製造業,20藥品及醫用化學製品製造業","200藥品及醫用化學製品,089其他食品,194化粧品"
349,66000,王記農產品實業有限公司,99701213,臺中市大甲區德化里東西八路一段398巷32號,08食品製造業,089其他食品
350,66000,永興珍餅 廠,99701231,臺中市沙鹿區沙鹿里沙田路二０六號,08食品製造業,089其他食品
351,66000,瑞豐商行,99701236,臺中市梧棲區興農里中央路一段四七０號,08食品製造業,"084食用油脂,086碾榖、磨粉及澱粉製品"
352,66000,陸勝記碾米工廠,99701254,臺中市烏日區東園里溪南路一段238巷255號,08食品製造業,086碾榖、磨粉及澱粉製品
353,66000,川庫有限公司,99701263,臺中市龍井區新庄里新興路二二六巷四二號,08食品製造業,089其他食品
354,66000,堅泰有限公司,99701275,臺中市太平區宜欣里溪洲路一三０巷五號,08食品製造業,089其他食品
355,66000,蔡大裕行,99701301,臺中市清水區武鹿里五權路五０一巷二０號,08食品製造業,086碾榖、磨粉及澱粉製品
356,66000,新豐冷凍股份有限公司,99701418,臺中市石岡區萬興里豐勢路六九九號,08食品製造業,089其他食品
357,66000,宏噠食品有限公司,99701437,臺中市神岡區豐洲里神洲路一三０巷二三之六號二樓,08食品製造業,089其他食品
358,66000,隆安油廠,99701468,臺中市太平區宜欣里富平路二四號,08食品製造業,084食用油脂
359,66000,永成素食品行,99701499,臺中市太平區中興里永平路２段５２１巷１４７號,08食品製造業,089其他食品
360,66000,三幸食品股份有限公司,99701599,臺中市太平區宜欣里中山路三段一九巷三七號,08食品製造業,089其他食品
361,66000,月眉糖廠福利委員會冷飲部,99701745,臺中市后里區眉山里雲頭路５０號,08食品製造業,089其他食品
362,66000,大安肉品有限公司,99701861,臺中市大安區龜里大安港路５４１號,08食品製造業,081肉類處理及其製品
363,66000,利全食品有限公司,99701865,臺中市烏日區北里里太明路二一號,08食品製造業,089其他食品
364,66000,臺中市大安區農會農產品加工廠,99701947,臺中市大安區中庄里中松路92之1號,08食品製造業,089其他食品
365,66000,鑫錩麟企業有限公司工廠,99701949,臺中市大里區大元里中興路二段六五巷四０號,08食品製造業,089其他食品
366,66000,宜農生物科技食品有限公司分廠,99701952,臺中市神岡區社南里中山路851巷35弄38號,08食品製造業,089其他食品
367,66000,紀氏源豐企業股份有限公司一廠,99701987,臺中市龍井區三德里中央路二段二三三號,08食品製造業,086碾榖、磨粉及澱粉製品
368,66000,信和股份有限公司台中廠,99702010,臺中市西屯區協和里工業區三十三路２５號,08食品製造業,089其他食品
369,66000,台灣真情實業有限公司台中廠,99702017,臺中市東區東門里東門路１０７號１樓,08食品製造業,089其他食品
370,66000,喜樂愛之泉有限公司,99702032,臺中市北區錦平里文祥街１０８號一樓,08食品製造業,"083蔬果處理及其製品,089其他食品"
371,66000,萬榮米廠,99702035,臺中市南屯區文山里忠勇路７９號一樓,08食品製造業,"086碾榖、磨粉及澱粉製品,089其他食品"
372,66000,千馥食品有限公司工廠,99702118,臺中市南區樹德里大慶街二段４９之４３號,08食品製造業,"083蔬果處理及其製品,089其他食品"
373,66000,品膳西湖食品有限公司,99702151,臺中市南區樹義里福田三街302號1樓,"08食品製造業,09飲料製造業","082水產處理及其製品,083蔬果處理及其製品,091酒精飲料"
374,66000,大佳麵行,99702171,臺中市西屯區廣福里中清路三段307巷16號,08食品製造業,089其他食品
375,66000,冠億食品股份有限公司台中廠,99702180,臺中市西屯區協和里工業區三十五路６７號,08食品製造業,"083蔬果處理及其製品,089其他食品"
376,66000,美淳香料股份有限公司台中廠,99702272,臺中市西屯區協和里工業區三十九路４１號,08食品製造業,089其他食品
377,66000,榮合食品股份有限公司,99702281,臺中市西屯區協和里工業區三十三路２０號,08食品製造業,089其他食品
378,66000,美食達人股份有限公司,99702296,臺中市南屯區寶山里工業區二十三路30號,08食品製造業,089其他食品
379,66000,旺和實業有限公司台中廠,99702319,臺中市西屯區協和里工業區六路18之1號,08食品製造業,"082水產處理及其製品,083蔬果處理及其製品,089其他食品"
380,66000,開店大師企業有限公司,99702323,臺中市南屯區寶山里工業區二十三路５０號,08食品製造業,089其他食品
381,66000,知王食品股份有限公司,99702334,臺中市西屯區協和里工業區三十九路62號,08食品製造業,"081肉類處理及其製品,089其他食品"
382,66000,海之鮮食品有限公司一廠,99702377,臺中市東區東門里振興路２８０巷６７弄１５號１樓,08食品製造業,089其他食品
383,66000,日日出股份有限公司,99702390,臺中市西屯區協和里工業區二十八路４５１號１樓,08食品製造業,089其他食品
384,66000,隆太生技食品有限公司,99702395,臺中市南屯區寶山里工業區二十路１１號１樓,08食品製造業,089其他食品
385,66000,永河興生技工廠有限公司,99702427,臺中市東區樂成里振興路297號,08食品製造業,"086碾榖、磨粉及澱粉製品,089其他食品"
386,66000,傑登生研有限公司,99702433,臺中市西屯區協和里工業區三十八路２１０號７樓之２,08食品製造業,089其他食品
387,66000,唯岫有限公司,99702446,臺中市南區樹義里樹義二街５８號,08食品製造業,089其他食品
388,66000,倍銘食品工業有限公司,99702500,臺中市南屯區寶山里工業區十八路２１號,08食品製造業,089其他食品
389,66000,辰榮企業有限公司,99702708,臺中市大里區大元里國光路一段一五九巷十二之一號,08食品製造業,089其他食品
390,66000,信成碾米工廠,99702711,臺中市大安區福住里南北七路121號,08食品製造業,086碾榖、磨粉及澱粉製品
391,66000,嗎哪食品有限公司,99702728,臺中市大里區新仁里新仁二街１２號,08食品製造業,083蔬果處理及其製品
392,66000,得壯健康食品社,99702754,臺中市神岡區庄後里中車路七０號一樓,08食品製造業,089其他食品
393,66000,今口香調理食品股份有限公司,99702759,臺中市太平區太平里甲堤路608號,"08食品製造業,09飲料製造業","089其他食品,092非酒精飲料"
394,66000,國銘蛋行,99702772,臺中市大肚區山陽里沙田路三段826號,08食品製造業,089其他食品
395,66000,旺味軒肉鬆食品有限公司,99702860,臺中市清水區西寧里西寧路６２之４號,08食品製造業,"089其他食品,081肉類處理及其製品"
396,66000,大穎食品股份有限公司外埔廠,99702891,臺中市外埔區大東里甲后路633號4、5樓,08食品製造業,089其他食品
397,66000,東原製油實業有限公司,99702896,臺中市太平區太平里永平路３段１３２巷５５弄１號,08食品製造業,084食用油脂
398,66000,鉅台有限公司,99702911,臺中市外埔區三崁里二崁路23號,08食品製造業,089其他食品
399,66000,有限責任台中市新社區菇類生產合作社,99702918,臺中市新社區中興里中興嶺169之27號,08食品製造業,089其他食品
400,66000,聖朝食品股份有限公司,99702943,臺中市神岡區社南里中山路７９５號,08食品製造業,083蔬果處理及其製品
401,66000,臺中市霧峰區農會碾米廠,99703001,臺中市霧峰區北柳里四德路382號,08食品製造業,086碾榖、磨粉及澱粉製品
402,66000,尚順食品有限公司一廠,99703064,臺中市大甲區頂店里中山路一段1158巷5-10號,08食品製造業,089其他食品
403,66000,全誠食品有限公司,99703104,臺中市豐原區翁子里豐勢路２段７５號,08食品製造業,089其他食品
404,66000,禾明生化科技有限公司,99703107,臺中市龍井區忠和里臺西南路２５６巷３２弄１０號,08食品製造業,089其他食品
405,66000,津芳食品行,99703130,臺中市豐原區南嵩里水源路１１５巷８７號,08食品製造業,089其他食品
406,66000,上圓食品興業有限公司,99703162,臺中市龍井區忠和里臺西南路２５６巷３２弄７號,08食品製造業,089其他食品
407,66000,一珍食品有限公司一廠,99703167,臺中市太平區宜欣里宜昌東路１７８巷７號,08食品製造業,089其他食品
408,66000,尚新食品工廠,99703235,臺中市太平區太平里永豐路１０８巷２１號,08食品製造業,089其他食品
409,66000,聯晟製冰廠,99703245,臺中市太平區中興里永平路２段５０３巷６號,08食品製造業,089其他食品
410,66000,臻里生物科技股份有限公司,99703267,臺中市太平區太平里永豐路47號,08食品製造業,089其他食品
411,66000,美特生技食品有限公司,99703275,臺中市太平區中興里永平路２段１２３巷２５號,08食品製造業,"083蔬果處理及其製品,089其他食品"
412,66000,小兵冰食品廠,99703279,臺中市潭子區甘蔗里中山路２段２８３巷３７號一樓,08食品製造業,089其他食品
413,66000,崇華食品有限公司,99703314,臺中市太平區宜欣里宜昌東路１１８號,08食品製造業,089其他食品
414,66000,沅渼生物科技股份有限公司一廠,99703389,臺中市豐原區三村里三和路398-1號,"18化學材料製造業,08食品製造業,19化學製品製造業","181基本化學材料,183肥料,191農藥及環境用藥,087動物飼料"
415,66000,菖樺食品有限公司一廠,99703395,臺中市太平區新光里新福東街１０９號,08食品製造業,089其他食品
416,66000,祥和瑞股份有限公司,99703419,臺中市大雅區大楓里昌平路四段295號,08食品製造業,089其他食品
417,66000,久品香食品有限公司,99703465,臺中市太平區德隆里光興路１０３號,08食品製造業,089其他食品
418,66000,禾金實業有限公司,99703493,臺中市大雅區四德里龍善三街７號,08食品製造業,086碾榖、磨粉及澱粉製品
419,66000,晨為企業股份有限公司神岡廠,99703498,臺中市神岡區三角里大富路８６號,08食品製造業,089其他食品
420,66000,伍珍穀粉有限公司,99703519,臺中市大甲區日南里工二路6號,08食品製造業,086碾榖、磨粉及澱粉製品
421,66000,台中市后里區農會碾米廠,99703555,臺中市后里區舊社里三線路3之9巷60號,08食品製造業,086碾榖、磨粉及澱粉製品
422,66000,天采淵生物科技股份有限公司,99703570,臺中市太平區中興里太平路778巷47號,08食品製造業,089其他食品
423,66000,上緣食品企業有限公司烏日廠,99703628,臺中市烏日區溪埧里環中路八段５０１巷２６１弄２號,08食品製造業,089其他食品
424,66000,木蘭食品有限公司,99703637,臺中市大雅區上楓里民富街115號,08食品製造業,089其他食品
425,66000,皇成食品有限公司,99703692,臺中市龍井區東海里遠東街２０９巷１０號１樓,08食品製造業,089其他食品
426,66000,創意烘焙資源食品廠有限公司,99703747,臺中市大里區仁化里仁慈街１０８號,08食品製造業,089其他食品
427,66000,興裕生碾米工廠一廠,99703772,臺中市大里區仁德里善化路５５號,08食品製造業,"084食用油脂,086碾榖、磨粉及澱粉製品"
428,66000,丰健有機國際有限公司,99703811,臺中市大雅區四德里龍善三街５號,08食品製造業,089其他食品
429,66000,全酉股份有限公司,99703814,臺中市潭子區潭秀里中山路2段607號,08食品製造業,089其他食品
430,66000,石城實業股份有限公司大里廠,99703829,臺中市大里區樹王里東興路５０６號,08食品製造業,"086碾榖、磨粉及澱粉製品,089其他食品"
431,66000,味丹企業股份有限公司沙鹿第三工廠,99703840,臺中市沙鹿區斗抵里興安路65號,"09飲料製造業,08食品製造業","085乳品,083蔬果處理及其製品,089其他食品,086碾榖、磨粉及澱粉製品,092非酒精飲料,091酒精飲料"
432,66000,佶利蛋品商行,99703860,臺中市大里區金城里中興路一段３１０巷１２弄１６號１樓,08食品製造業,089其他食品
433,66000,樂鴻冷凍食品有限公司,99703934,臺中市大里區大元里大衛一街１０號,08食品製造業,081肉類處理及其製品
434,66000,美芳堂糕餅有限公司,99703981,臺中市太平區中興里永平路２段４７６巷６６弄２０號,08食品製造業,089其他食品
435,66000,祥旺食品工業股份有限公司,99704008,臺中市大甲區日南里工十路7號,08食品製造業,089其他食品
436,66000,鼎源生技食品有限公司,99704063,臺中市后里區后里里泉州路14之5號1樓,08食品製造業,089其他食品
437,66000,富銘生物科技股份有限公司,99704136,臺中市霧峰區南柳里新厝路２６１巷１０弄２２號３、４樓,08食品製造業,089其他食品
438,66000,華冠乳品股份有限公司,99704141,臺中市烏日區前竹里中山路一段２６５巷５號,08食品製造業,085乳品
439,66000,昱倫生物科技股份有限公司,99704255,臺中市大雅區雅楓里民生路三段180巷15號3樓,08食品製造業,089其他食品
440,66000,綺緣生技實業有限公司,99704283,臺中市石岡區萬興里豐勢路721號2樓,08食品製造業,083蔬果處理及其製品
441,66000,壽生農產有限公司,99704284,臺中市后里區墩北里月湖路48巷5之1號1樓,08食品製造業,089其他食品
442,66000,如意食務有限公司,99704299,臺中市豐原區北湳里大順街８巷１５１號,08食品製造業,089其他食品
443,66000,台灣植物奈米生技股份有限公司,99704415,臺中市大里區大元里環中東路七段48號,08食品製造業,089其他食品
444,66000,翔品有限公司台中廠,99704424,臺中市龍井區忠和里西濱路３段１５１號,08食品製造業,089其他食品
445,66000,萬大酵素生物科技股份有限公司,99704453,臺中市潭子區福仁里中山路２段４９號,08食品製造業,089其他食品
446,66000,台灣大食品股份有限公司工廠,99704465,臺中市清水區海濱里北堤路35號,08食品製造業,086碾榖、磨粉及澱粉製品
447,66000,益爾伸特販有限公司,99704501,臺中市龍井區忠和里臺西南路２５６巷３０弄６號壹樓,08食品製造業,086碾榖、磨粉及澱粉製品
448,66000,金原食品有限公司,99704525,臺中市大里區大元里環中東路七段36巷7、9號,08食品製造業,089其他食品
449,66000,妙師傅生技有限公司,99704527,臺中市太平區建國里鵬儀路296巷5號,08食品製造業,089其他食品
450,66000,合興事業有限公司台中廠,99704562,臺中市龍井區忠和里臺西南路２５８號,08食品製造業,089其他食品
451,66000,富昱興業股份有限公司,99712559,臺中市霧峰區吉峰里中正路１２６５巷１８號,08食品製造業,089其他食品
452,66000,玉豐製冰冷凍廠股份有限公司,99712589,臺中市東勢區茂興里東蘭路１９７之１號,08食品製造業,089其他食品
453,66000,百歐仕科研股份有限公司大甲廠,99712640,臺中市大甲區庄美里興安路138號之192,08食品製造業,089其他食品
454,66000,四季工坊有限公司,99712683,臺中市霧峰區坑口里中正路５６５巷１７號,08食品製造業,089其他食品
455,66000,客都食品有限公司,99712762,臺中市太平區太平里永豐路２６６巷３號１樓,08食品製造業,083蔬果處理及其製品
456,66000,牧鄉食品有限公司,99712796,臺中市大雅區二和里雅潭路四段418號,08食品製造業,089其他食品
457,66000,龍景翔實業股份有限公司,99712860,臺中市大雅區員林里大林路２４６號,08食品製造業,084食用油脂
458,66000,佑牧企業股份有限公司,99712947,臺中市大肚區頂街里沙田路三段245巷68-7號、68-8號1樓,08食品製造業,087動物飼料
459,66000,丸鵬魚丸食品商行,99713009,臺中市太平區中興里永平路２段３７２號,08食品製造業,089其他食品
460,66000,欣園食品有限公司,99713010,臺中市潭子區潭秀里潭富路一段８１號,08食品製造業,086碾榖、磨粉及澱粉製品
461,66000,佑牧生物科技股份有限公司,99713045,臺中市大肚區頂街里沙田路三段２４５巷６８之８號２、３、４樓,08食品製造業,087動物飼料
462,66000,源泰豐食品有限公司,99713065,臺中市外埔區永豐里六分路１２３之７號１樓,08食品製造業,089其他食品
463,66000,宗柏企業有限公司二廠,99713067,臺中市大雅區西寶里西村路１５號,08食品製造業,084食用油脂
464,66000,光軒食品股份有限公司,99713072,臺中市大肚區王田里王福街750巷30號,08食品製造業,089其他食品
465,66000,臺中市大安區農會肉品加工廠,99713173,臺中市大安區中庄里中松路93號,08食品製造業,081肉類處理及其製品
466,66000,慶澤生化科技股份有限公司食品廠,99713285,臺中市大里區瑞城里瑞和街１３５巷１５號２樓,08食品製造業,089其他食品
467,66000,侑陞食品行,99713377,臺中市沙鹿區六路里六路三街３１號１樓,08食品製造業,089其他食品
468,66000,新德貿食品有限公司,99713427,臺中市大雅區雅楓里德勝路106巷12號,08食品製造業,089其他食品
469,66000,鯉豐碾米工廠,99713451,臺中市后里區公館里三豐路４４５之８號,08食品製造業,086碾榖、磨粉及澱粉製品
470,66000,紅櫻花食品行工廠,99713469,臺中市大甲區岷山里中山路一段９７６之５號,08食品製造業,089其他食品
471,66000,高明生物科技股份有限公司,99713481,臺中市太平區中興里東平路715巷8弄6號,08食品製造業,089其他食品
472,66000,躍盛食品有限公司,99713482,臺中市烏日區北里里太明路６１號,08食品製造業,089其他食品
473,66000,上力食品有限公司,99713509,臺中市大雅區秀山里秀山五路１號,08食品製造業,089其他食品
474,66000,承宇食品有限公司,99713514,臺中市沙鹿區興安里斗潭路392-1號,08食品製造業,084食用油脂
475,66000,貴田食品企業有限公司,99713520,臺中市大肚區王田里沙田路一段３２０巷５６弄３２號,08食品製造業,089其他食品
476,66000,忠永生物科技有限公司,99713536,臺中市大里區金城里塗城路８５２巷１８號１樓,08食品製造業,089其他食品
477,66000,德樂仕企業有限公司工廠,99713547,臺中市太平區太平里永豐路８５巷３１號,08食品製造業,089其他食品
478,66000,冰之島食品有限公司,99713643,臺中市大里區大元里國中一路７２號,08食品製造業,089其他食品
479,66000,福廣珍食品股份有限公司,99713648,臺中市太平區建國里鵬儀路312巷1號,08食品製造業,089其他食品
480,66000,傳宗食品有限公司,99713684,臺中市大雅區大楓里民富街109號,08食品製造業,089其他食品
481,66000,糖潮概念創意有限公司一廠,99713812,臺中市大里區新里里大里路８６號１樓,08食品製造業,089其他食品
482,66000,長洲食品股份有限公司,99713824,臺中市霧峰區北柳里四德路136巷53號,08食品製造業,089其他食品
483,66000,日安食品有限公司,99713839,臺中市豐原區翁明里圓環北路二段317巷9弄26號,08食品製造業,089其他食品
484,66000,志昇食品有限公司,99713865,臺中市大甲區岷山里金華西路８３號,08食品製造業,089其他食品
485,66000,進良食品工業有限公司,99713875,臺中市豐原區陽明里自強南街２１３號,08食品製造業,089其他食品
486,66000,嗎哪生物科技有限公司,99713879,臺中市沙鹿區西勢里和睦路三段467號,08食品製造業,087動物飼料
487,66000,台中空廚股份有限公司,99720534,臺中市西屯區協和里工業區十三路２號,08食品製造業,089其他食品
488,66000,愛比森國際股份有限公司台中廠,99720536,臺中市西屯區協和里工業區三十一路12之6號,"19化學製品製造業,08食品製造業","089其他食品,194化粧品"
489,66000,美食達人股份有限公司本廠,99720556,臺中市南屯區寶山里工業區二十三路35號,08食品製造業,089其他食品
490,66000,怡饗美食股份有限公司,99720558,臺中市西屯區協和里工業區十路11之1號,08食品製造業,089其他食品
491,66000,合晟國際有限公司台中總廠,99720623,臺中市西屯區協和里工業區三十八路１９５號,08食品製造業,089其他食品
492,66000,吉貿生物科技股份有限公司,99720696,臺中市西屯區協和里工業區三十八路185之1號2樓,08食品製造業,089其他食品
493,66000,健生齋養生食用品生技股份有限公司工廠,99720710,臺中市北屯區東光里北屯路２９８巷２６弄１５號,"08食品製造業,09飲料製造業","083蔬果處理及其製品,086碾榖、磨粉及澱粉製品,089其他食品,092非酒精飲料"
494,66000,吉洋食品有限公司,6000039,臺中市太平區中興里永平路二段378號,08食品製造業,"082水產處理及其製品,081肉類處理及其製品"
495,66000,蓮薪蓉有限公司,6000076,臺中市太平區永隆里正光街202號,08食品製造業,089其他食品
496,66000,有幾園生物科技股份有限公司,6000082,臺中市梧棲區草湳里港埠路一段537號,08食品製造業,"083蔬果處理及其製品,089其他食品"
497,66000,沃農士食品股份有限公司,6000093,臺中市大安區福興里興安路166、168號,08食品製造業,089其他食品
498,66000,信逢股份有限公司,6000104,臺中市太平區中興里永義七街25巷1號,08食品製造業,087動物飼料
499,66000,長松食品有限公司沙鹿廠,6000124,臺中市沙鹿區埔子里鎮南路一段319號1樓,08食品製造業,089其他食品
500,66000,鮮味珍食品舖太平廠,6000146,臺中市太平區太平里合利街33巷11號,08食品製造業,089其他食品
501,66000,中得食材行,6000166,臺中市大里區樹王里東興路510號,08食品製造業,089其他食品
502,66000,唯盛食品股份有限公司,6000176,臺中市大甲區武曲里新政路326巷2號,08食品製造業,081肉類處理及其製品
503,66000,新食唯心食品工廠有限公司,6000178,臺中市大肚區王田里沙田路一段320巷56弄52號,08食品製造業,"081肉類處理及其製品,082水產處理及其製品"
504,66000,欣雅有限公司潭子廠,6000189,臺中市潭子區大豐里潭富路二段189號,08食品製造業,089其他食品
505,66000,佳旭企業股份有限公司,6000205,臺中市大安區東安里中山南路96號,08食品製造業,089其他食品
506,66000,鄭杏泰生技食品有限公司,19000019,臺中市南屯區寶山里工業區十八路１８號２樓,08食品製造業,089其他食品
507,66000,圓記食品股份有限公司,66000001,臺中市太平區宜欣里宜昌東路99號,08食品製造業,089其他食品
508,66000,融燁食品有限公司,66000004,臺中市西屯區協和里工業區42路7號,08食品製造業,089其他食品
